month,peak,gain,%gain,average,average % gain
Last 30 days,"13,366",686,5.40%,"7,186",2.60%
Aug-25,"12,680","-1,946",-13.30%,"7,007",-5.50%
Jul-25,"14,626","-1,104",-7.00%,"7,412",-10.20%
Jun-25,"15,730",-81,-0.50%,"8,251",-10.50%
May-25,"15,811","-2,394",-13.20%,"9,224",-4.40%
Apr-25,"18,205",-430,-2.30%,"9,653",-6.00%
Mar-25,"18,635","-1,048",-5.30%,"10,269",-10.80%
Feb-25,"19,683","-1,063",-5.10%,"11,507",-3.20%
Jan-25,"20,746","1,099",5.60%,"11,888",4.40%
Dec-24,"19,647","1,683",9.40%,"11,387",11.80%
Nov-24,"17,964",979,5.80%,"10,189",3.60%
Oct-24,"16,985",251,1.50%,"9,839",6.10%
Sep-24,"16,734","1,601",10.60%,"9,277",4.80%
Aug-24,"15,133","-4,231",-21.80%,"8,853",-15.00%
Jul-24,"19,364","2,724",16.40%,"10,420",8.40%
Jun-24,"16,640",760,4.80%,"9,613",6.90%
May-24,"15,880","1,370",9.40%,"8,993",9.20%
Apr-24,"14,510","-1,816",-11.10%,"8,238",-7.30%
Mar-24,"16,326","1,275",8.50%,"8,890",7.90%
Feb-24,"15,051",-627,-4.00%,"8,240",-4.00%
Jan-24,"15,678","1,032",7.00%,"8,585",4.90%
Dec-23,"14,646",148,1.00%,"8,186",2.70%
Nov-23,"14,498",257,1.80%,"7,973",-0.10%
Oct-23,"14,241",620,4.60%,"7,977",4.50%
Sep-23,"13,621","1,102",8.80%,"7,631",1.80%
Aug-23,"12,519",-848,-6.30%,"7,499",-4.00%
Jul-23,"13,367",289,2.20%,"7,812",1.60%
Jun-23,"13,078",-541,-4.00%,"7,688",-0.20%
May-23,"13,619","-1,907",-12.30%,"7,706",-8.60%
Apr-23,"15,526",-309,-2.00%,"8,433",-5.70%
Mar-23,"15,835",-529,-3.20%,"8,942",-3.10%
Feb-23,"16,364",-807,-4.70%,"9,230",-5.20%
Jan-23,"17,171",921,5.70%,"9,741",6.20%
Dec-22,"16,250",128,0.80%,"9,173",5.50%
Nov-22,"16,122","2,276",16.40%,"8,696",6.70%
Oct-22,"13,846",334,2.50%,"8,148",-
Sep-22,"13,512",154,1.20%,-,-
Aug-22,"13,358",-670,-4.80%,-,-
Jul-22,"14,028",321,2.30%,-,-
Jun-22,"13,707",-505,-3.60%,-,-
May-22,"14,212","-2,484",-14.90%,-,-
Apr-22,"16,696",-261,-1.50%,-,-
Mar-22,"16,957","-1,786",-9.50%,-,-
Feb-22,"18,743",213,1.10%,-,-
Jan-22,"18,530","1,882",11.30%,-,-
Dec-21,"16,648",242,1.50%,-,-
Nov-21,"16,406",647,4.10%,-,-
Oct-21,"15,759","1,019",6.90%,-,-
Sep-21,"14,740",613,4.30%,-,-
Aug-21,"14,127",-871,-5.80%,-,-
Jul-21,"14,998","-1,441",-8.80%,-,-
Jun-21,"16,439","-1,701",-9.40%,-,-
May-21,"18,140","-3,558",-16.40%,-,-
Apr-21,"21,698",-695,-3.10%,-,-
Mar-21,"22,393",533,2.40%,-,-
Feb-21,"21,860","-2,043",-8.50%,-,-
Jan-21,"23,903","1,070",4.70%,-,-
Dec-20,"22,833","1,917",9.20%,-,-
Nov-20,"20,916","2,886",16.00%,-,-
Oct-20,"18,030","1,735",10.60%,-,-
Sep-20,"16,295",-265,-1.60%,-,-
Aug-20,"16,560","-1,652",-9.10%,-,-
Jul-20,"18,212","-2,847",-13.50%,-,-
Jun-20,"21,059","-8,823",-29.50%,-,-
May-20,"29,882","-2,048",-6.40%,-,-
Apr-20,"31,930","1,304",4.30%,-,-
Mar-20,"30,626","12,864",72.40%,-,-
Feb-20,"17,762","-1,379",-7.20%,-,-
Jan-20,"19,141",776,4.20%,-,-
Dec-19,"18,365","1,470",8.70%,-,-
Nov-19,"16,895","1,958",13.10%,-,-
Oct-19,"14,937",206,1.40%,-,-
Sep-19,"14,731",-240,-1.60%,-,-
Aug-19,"14,971",-400,-2.60%,-,-
Jul-19,"15,371",280,1.90%,-,-
Jun-19,"15,091","-1,599",-9.60%,-,-
May-19,"16,690",-696,-4.00%,-,-
Apr-19,"17,386","-1,962",-10.10%,-,-
Mar-19,"19,348","-2,122",-9.90%,-,-
Feb-19,"21,470","-1,674",-7.20%,-,-
Jan-19,"23,144","1,279",5.80%,-,-
Dec-18,"21,865","1,219",5.90%,-,-
Nov-18,"20,646","2,463",13.50%,-,-
Oct-18,"18,183",586,3.30%,-,-
Sep-18,"17,597",461,2.70%,-,-
Aug-18,"17,136","-1,191",-6.50%,-,-
Jul-18,"18,327",-529,-2.80%,-,-
Jun-18,"18,856",-12,-0.10%,-,-
May-18,"18,868","-3,839",-16.90%,-,-
Apr-18,"22,707","-3,189",-12.30%,-,-
Mar-18,"25,896",-561,-2.10%,-,-
Feb-18,"26,457","-1,165",-4.20%,-,-
Jan-18,"27,622","1,805",7.00%,-,-
Dec-17,"25,817",900,3.60%,-,-
Nov-17,"24,917","4,026",19.30%,-,-
Oct-17,"20,891","2,136",11.40%,-,-
Sep-17,"18,755",290,1.60%,-,-
Aug-17,"18,465","-1,907",-9.40%,-,-
Jul-17,"20,372",60,0.30%,-,-
Jun-17,"20,312","-1,787",-8.10%,-,-
May-17,"22,099",-632,-2.80%,-,-
Apr-17,"22,731","-3,773",-14.20%,-,-
Mar-17,"26,504","-1,567",-5.60%,-,-
Feb-17,"28,071","-1,472",-5.00%,-,-
Jan-17,"29,543","2,634",9.80%,-,-
Dec-16,"26,909","2,117",8.50%,-,-
Nov-16,"24,792","1,379",5.90%,-,-
Oct-16,"23,413","1,429",6.50%,-,-
Sep-16,"21,984",493,2.30%,-,-
Aug-16,"21,491",355,1.70%,-,-
Jul-16,"21,136","-1,449",-6.40%,-,-
Jun-16,"22,585",-413,-1.80%,-,-
May-16,"22,998","-1,996",-8.00%,-,-
Apr-16,"24,994","-3,142",-11.20%,-,-
Mar-16,"28,136","-1,481",-5.00%,-,-
Feb-16,"29,617",-53,-0.20%,-,-
Jan-16,"29,670","1,849",6.60%,-,-
Dec-15,"27,821","1,688",6.50%,-,-
Nov-15,"26,133","1,855",7.60%,-,-
Oct-15,"24,278","1,148",5.00%,-,-
Sep-15,"23,130",480,2.10%,-,-
Aug-15,"22,650",-973,-4.10%,-,-
Jul-15,"23,623",-577,-2.40%,-,-
Jun-15,"24,200","-2,265",-8.60%,-,-
May-15,"26,465","-1,821",-6.40%,-,-
Apr-15,"28,286","-2,047",-6.70%,-,-
Mar-15,"30,333","-3,938",-11.50%,-,-
Feb-15,"34,271","-2,836",-7.60%,-,-
Jan-15,"37,107",89,0.20%,-,-
Dec-14,"37,018",625,1.70%,-,-
Nov-14,"36,393","2,898",8.70%,-,-
Oct-14,"33,495","1,805",5.70%,-,-
Sep-14,"31,690","1,311",4.30%,-,-
Aug-14,"30,379",815,2.80%,-,-
Jul-14,"29,564","-2,242",-7.00%,-,-
Jun-14,"31,806","-2,163",-6.40%,-,-
May-14,"33,969","-1,957",-5.40%,-,-
Apr-14,"35,926","-3,693",-9.30%,-,-
Mar-14,"39,619","-2,344",-5.60%,-,-
Feb-14,"41,963","-2,749",-6.10%,-,-
Jan-14,"44,712",221,0.50%,-,-
Dec-13,"44,491","3,748",9.20%,-,-
Nov-13,"40,743",917,2.30%,-,-
Oct-13,"39,826","2,387",6.40%,-,-
Sep-13,"37,439",456,1.20%,-,-
Aug-13,"36,983","2,753",8.00%,-,-
Jul-13,"34,230","-1,260",-3.60%,-,-
Jun-13,"35,490","-1,492",-4.00%,-,-
May-13,"36,982","-7,410",-16.70%,-,-
Apr-13,"44,392","-5,090",-10.30%,-,-
Mar-13,"49,482","-11,298",-18.60%,-,-
Feb-13,"60,780","-4,320",-6.60%,-,-
Jan-13,"65,100",-88,-0.10%,-,-
Dec-12,"65,188","3,999",6.50%,-,-
Nov-12,"61,189","4,232",7.40%,-,-
Oct-12,"56,957",904,1.60%,-,-
Sep-12,"56,053",732,1.30%,-,-
Aug-12,"55,321",707,1.30%,-,-
Jul-12,"54,614","-5,687",-9.40%,-,-
Jun-12,"60,301","-2,241",-3.60%,-,-
May-12,"62,542","-9,783",-13.50%,-,-
Apr-12,"72,325","-7,586",-9.50%,-,-
Mar-12,"79,911",-9,0.00%,-,-
Feb-12,"79,920",-169,-0.20%,-,-
Jan-12,"80,089","7,295",10.00%,-,-
Dec-11,"72,794","2,550",3.60%,-,-
Nov-11,"70,244","1,584",2.30%,-,-
Oct-11,"68,660","4,751",7.40%,-,-
Sep-11,"63,909",950,1.50%,-,-
Aug-11,"62,959","2,329",3.80%,-,-
Jul-11,"60,630","-8,955",-12.90%,-,-
Jun-11,"69,585","2,215",3.30%,-,-
May-11,"67,370","-7,564",-10.10%,-,-
Apr-11,"74,934","-6,905",-8.40%,-,-
Mar-11,"81,839","-1,485",-1.80%,-,-
Feb-11,"83,324",-581,-0.70%,-,-
Jan-11,"83,905","7,238",9.40%,-,-
Dec-10,"76,667",867,1.10%,-,-
Nov-10,"75,800","1,515",2.00%,-,-
Oct-10,"74,285","3,436",4.80%,-,-
Sep-10,"70,849","3,728",5.60%,-,-
Aug-10,"67,121","4,391",7.00%,-,-
Jul-10,"62,730","-1,139",-1.80%,-,-
Jun-10,"63,869","-129,055",-66.90%,-,-
May-10,"192,924","119,692",163.40%,-,-
Apr-10,"73,232","-2,671",-3.50%,-,-
Mar-10,"75,903","11,834",18.50%,-,-
Feb-10,"64,069","-8,964",-12.30%,-,-
Jan-10,"73,033","3,708",5.30%,-,-
Dec-09,"69,325","28,747",70.80%,-,-
Nov-09,"40,578","-23,254",-36.40%,-,-
Oct-09,"63,832","5,334",9.10%,-,-
Sep-09,"58,498","-3,558",-5.70%,-,-
Aug-09,"62,056","12,925",26.30%,-,-
Jul-09,"49,131","-15,443",-23.90%,-,-
Jun-09,"64,574","4,329",7.20%,-,-
May-09,"60,245","10,798",21.80%,-,-
Apr-09,"49,447","-26,016",-34.50%,-,-
Mar-09,"75,463",340,0.50%,-,-
Feb-09,"75,123","26,718",55.20%,-,-
Jan-09,"48,405","-6,460",-11.80%,-,-
Dec-08,"54,865","7,620",16.10%,-,-
Nov-08,"47,245","-29,259",-38.20%,-,-
Oct-08,"76,504","3,463",4.70%,-,-
Sep-08,"73,041","-152,233",-67.60%,-,-
Jan-08,"225,274","-94,312",-29.50%,-,-
Dec-07,"319,586","60,183",23.20%,-,-
Nov-07,"259,403","35,673",15.90%,-,-
Oct-07,"223,730","-59,950",-21.10%,-,-
Sep-07,"283,680","81,036",40.00%,-,-
Aug-07,"202,644","-38,488",-16.00%,-,-
Jul-07,"241,132","8,598",3.70%,-,-
Jun-07,"232,534","47,691",25.80%,-,-
May-07,"184,843","106,108",134.80%,-,-
Apr-07,"78,735","-95,715",-54.90%,-,-
Mar-07,"174,450","-13,675",-7.30%,-,-
Feb-07,"188,125","53,305",39.50%,-,-
Jan-07,"134,820","25,720",23.60%,-,-
Dec-06,"109,100","1,330",1.20%,-,-
Nov-06,"107,770","-25,106",-18.90%,-,-
Aug-06,"132,876","6,823",5.40%,-,-
Dec-05,"126,053","30,510",31.90%,-,-
Nov-05,"95,543","-23,045",-19.40%,-,-
Sep-05,"118,588","-13,478",-10.20%,-,-
Aug-05,"132,066","21,208",19.10%,-,-
Jul-05,"110,858","30,846",38.60%,-,-
Jun-05,"80,012","-25,283",-24.00%,-,-
May-05,"105,295","18,011",20.60%,-,-
Apr-05,"87,284","-16,208",-15.70%,-,-
Mar-05,"103,492","16,456",18.90%,-,-
Feb-05,"87,036","7,871",9.90%,-,-
Jan-05,"79,165","-37,992",-32.40%,-,-
Dec-04,"117,157","39,338",50.60%,-,-
Nov-04,"77,819","-2,128",-2.70%,-,-
Oct-04,"79,947","-16,504",-17.10%,-,-
Sep-04,"96,451","4,402",4.80%,-,-
Aug-04,"92,049","22,364",32.10%,-,-
Jul-04,"69,685","2,809",4.20%,-,-
Jun-04,"66,876","-8,050",-10.70%,-,-
Apr-04,"74,926","35,217",88.70%,-,-
Feb-04,"39,709","16,468",70.90%,-,-
Jan-04,"23,241",-,-,-,-